pattern_name,section_order,cta_placement,color_strategy,effects,conversion_tips
Hero + Features + CTA,Hero with headline and CTA > Logo bar > Features grid > Testimonials > Pricing > Final CTA,Above fold primary + after social proof secondary,Primary on hero CTA / neutral background / accent on feature icons,Hero parallax + feature cards hover lift + scroll-triggered animations,Include one clear CTA above fold and repeat after social proof
Before-After Transformation,Hero with problem > Before state > After state > How it works > Results > CTA,After showing transformation evidence,Dark/muted for before state / bright/vibrant for after state,Split screen reveal + counter animations + before/after slider,Show concrete metrics and visual proof of transformation
Social Proof Heavy,Hero > Logo bar > Case studies > Testimonials wall > Stats > CTA,After testimonial section when trust is highest,Neutral background to let testimonials stand out / accent on stats,Testimonial carousel + stat counter animations + logo fade in,Lead with recognizable logos and quantified results
Product Demo First,Hero with embedded demo > Key features > How it works > Pricing > CTA,After interactive demo engagement,Subtle background to focus on product / accent on interactive elements,Interactive product demo + tooltip highlights + smooth transitions,Let users experience the product before asking them to sign up
Storytelling Narrative,Hook headline > Problem > Journey > Solution > Results > CTA,At emotional peak after the story resolves,Evolving palette from problem (muted) to solution (vibrant),Scroll-triggered reveals + progressive disclosure + parallax text,Build emotional connection before presenting the solution
Pricing-Led,Hero > Quick value prop > Pricing table > Feature comparison > FAQ > CTA,Pricing visible early / toggle annual vs monthly,Highlight recommended plan with accent color / muted for others,Pricing toggle animation + plan hover highlight + FAQ accordion,Anchor with highest plan first then show recommended mid-tier
Minimal Single-Page,Full-screen hero > Scrolling feature sections > Single CTA,One CTA at the end after full context,Monochrome with single accent / generous whitespace,Full-page scroll snap + fade-in sections + minimal transitions,Remove all distractions and focus on one conversion goal
Video-Led,Hero with autoplay video > Key message > Features > CTA,Immediately after video engagement,Dark overlay on video / bright CTA contrast,Autoplay muted video + scroll-triggered play + overlay text,Keep video under 60 seconds and add captions for muted autoplay
Comparison/Alternative,Hero positioning against competitors > Feature comparison > Pricing > Switch CTA,After comparison table showing advantages,Green for your features / red/muted for competitor gaps,Comparison table animations + checkmark reveals + switch CTA,Be honest in comparisons and highlight unique differentiators
Community/Platform,Hero > User stats > Community showcase > Getting started > CTA,After showing active community engagement,Warm inclusive palette / user-generated content highlights,User avatars animation + activity feed + community counter,Show real community activity and make joining feel easy
Interactive Calculator,Hero with ROI calculator > Results > How it works > Testimonials > CTA,After calculator shows potential value,Accent on calculator results / neutral on form inputs,Interactive calculator + real-time results + chart animations,Pre-fill calculator with realistic defaults that show value
Feature Spotlight,Hero > Deep-dive feature 1 > Feature 2 > Feature 3 > Integration > CTA,After each feature section as micro-CTAs,Alternate background colors per section for visual rhythm,Feature demo animations + screenshot transitions + code snippets,Focus on 3 core features max and go deep on each
Waitlist/Coming Soon,Hero with countdown > Sneak peek > Early access benefits > Email capture,Single email capture as primary CTA,Exclusive feel with dark background / accent on countdown,Countdown timer + email success animation + sneak peek reveals,Create urgency with countdown and exclusive early access perks
Enterprise/B2B,Hero > Trust logos > Solutions by role > Case studies > Security > Contact,Contact form after security/compliance section,Conservative trustworthy palette / minimal accent usage,Subtle professional animations + case study carousels,Address security and compliance concerns before the CTA
Free Trial Funnel,Hero with trial CTA > Quick setup steps > Feature highlights > FAQ > Trial CTA,Prominent trial CTA top and bottom / no credit card messaging,Green for trial CTA / trust indicators near form,Trial form inline + step counter + benefit tooltips,Emphasize no credit card required and quick setup time
