category,rule,do_pattern,do_code,dont_pattern,dont_code,severity
Navigation,Use sticky navigation on long pages,Sticky header that stays visible on scroll,position: sticky; top: 0; z-index: 50; backdrop-filter: blur(8px);,Navigation disappears on scroll,position: static; /* User loses context */,HIGH
Navigation,Add breadcrumbs for deep hierarchies,Show path: Home > Category > Item,<nav aria-label="breadcrumb"><ol>...</ol></nav>,No breadcrumb navigation,/* User can't navigate back */,MEDIUM
Navigation,Use smooth scroll for anchor links,Smooth scroll to sections on click,html { scroll-behavior: smooth; scroll-padding-top: 80px; },Instant jump to anchor links,/* Disorienting for users */,LOW
Navigation,Mobile hamburger menu with clear icon,Standard hamburger icon with smooth open animation,<button aria-label="Menu" aria-expanded="false">☰</button>,Hidden or non-standard menu icon,/* Custom icon nobody recognizes */,HIGH
Animation,Keep animations under 300ms for interactions,Quick responsive micro-interactions,transition: all 200ms cubic-bezier(0.4 0 0.2 1);,Slow animations that block interaction,transition: all 800ms ease; /* Feels sluggish */,HIGH
Animation,Respect reduced motion preferences,Check and disable animations for accessibility,@media (prefers-reduced-motion: reduce) { * { animation: none !important; } },Ignore motion sensitivity settings,/* Triggers motion sickness for some users */,HIGH
Animation,Use ease-out for entering elements,Elements enter smoothly and decelerate,animation: fadeIn 200ms ease-out;,Linear animations feel robotic,animation: fadeIn 200ms linear; /* Unnatural feel */,MEDIUM
Animation,Stagger animations for list items,Items appear in sequence with slight delay,animation-delay: calc(var(--i) * 50ms);,All items animate simultaneously,/* Visual overload */,LOW
Forms,Always use visible labels above inputs,Label clearly above the input field,<label for="email">Email</label><input id="email" type="email" />,Placeholder-only labels that disappear,<input placeholder="Email" /> /* Label gone on focus */,HIGH
Forms,Show inline validation errors immediately,Error appears below the specific field in red,<span class="text-red-500 text-sm mt-1">Email is required</span>,Show all errors at top of form only,/* User can't find which field failed */,HIGH
Forms,Use appropriate input types for mobile,Email type shows @ keyboard on mobile,<input type="email" inputmode="email" autocomplete="email" />,Generic text input for all fields,<input type="text" /> /* Wrong keyboard on mobile */,MEDIUM
Forms,Group related fields visually,Fieldset with legend for related inputs,<fieldset><legend>Shipping Address</legend>...</fieldset>,All fields in one flat list,/* Cognitive overload */,MEDIUM
Forms,Auto-focus first field on form pages,Focus the first input when page loads,<input autofocus /> or formRef.current?.focus(),No auto-focus user must click,/* Extra unnecessary click */,LOW
Accessibility,Minimum 4.5:1 contrast ratio for text,Dark text on light backgrounds or vice versa,color: #1E293B; background: #FFFFFF; /* 12.6:1 ratio */,Low contrast text on similar backgrounds,color: #94A3B8; background: #F1F5F9; /* 2.1:1 fails WCAG */,HIGH
Accessibility,All images must have alt text,Descriptive alt text for meaningful images,<img src="chart.png" alt="Revenue grew 45% in Q3 2024" />,Missing or empty alt text,<img src="chart.png" /> /* Screen readers skip it */,HIGH
Accessibility,Keyboard navigation must work for all interactive elements,Focusable buttons links and inputs with visible focus ring,button:focus-visible { outline: 2px solid #2563EB; outline-offset: 2px; },Custom elements without keyboard support,<div onclick="..."> /* Can't tab to it */,HIGH
Accessibility,Use semantic HTML elements,Proper heading hierarchy and landmarks,<main><section><h2>Features</h2></section></main>,Div soup without semantic meaning,<div class="section"><div class="title">Features</div></div>,MEDIUM
Accessibility,Touch targets minimum 44x44px on mobile,Large enough buttons for finger tapping,min-width: 44px; min-height: 44px; padding: 12px 24px;,Tiny buttons or links on mobile,padding: 4px 8px; /* Too small to tap accurately */,HIGH
Performance,Lazy load images below the fold,Load images only when entering viewport,<img loading="lazy" src="feature.jpg" alt="..." />,Load all images on page load,/* Slow initial page load */,HIGH
Performance,Use skeleton screens during loading,Show content shape placeholder while loading,<div class="animate-pulse bg-gray-200 h-4 rounded" />,Blank screen or spinner only,/* User thinks page is broken */,HIGH
Performance,Optimize images with modern formats,WebP or AVIF with fallback,<picture><source type="image/webp" /><img src="fallback.jpg" /></picture>,Unoptimized PNG/JPG images,<img src="photo.png" /> /* 5MB uncompressed */,HIGH
Performance,Implement virtual scrolling for long lists,Render only visible items in viewport,Use react-virtual or tanstack-virtual for lists over 100 items,Render thousands of DOM nodes,{items.map(i => <div key={i.id}>...</div>)} /* 10k nodes */,MEDIUM
Typography,Use a clear type scale with consistent ratios,Progressive heading sizes with 1.25 ratio,text-4xl (2.25rem) > text-2xl (1.5rem) > text-lg (1.125rem) > text-base (1rem),Random font sizes without hierarchy,/* 17px 22px 15px 28px random sizes */,HIGH
Typography,Line height 1.5-1.8 for body text,Comfortable reading line height,line-height: 1.6; max-width: 65ch;,Cramped or overly loose line spacing,line-height: 1.0; /* Text feels compressed */,MEDIUM
Typography,Limit line length to 50-75 characters,Constrain text width for readability,max-width: 65ch; margin: 0 auto;,Full-width text across large screens,/* Eyes lose position on return */,MEDIUM
Color,Use color consistently for meaning,Green = success / Red = error / Yellow = warning,<span class="text-green-600">Saved</span> <span class="text-red-600">Error</span>,Same color for different meanings,/* Green button = success AND navigation? Confusing */,HIGH
Color,Never rely on color alone for information,Add icons or text labels alongside color,<span class="text-red-600">⚠ Error: Email required</span>,Color is the only differentiator,<span class="text-red-600">Email required</span> /* Colorblind users miss it */,HIGH
Color,Limit palette to 5-7 colors max,Primary + Secondary + Accent + Neutral shades,Define CSS variables for consistent palette usage,Rainbow of unrelated colors,/* Every section uses different random colors */,MEDIUM
Buttons,Use clear visual hierarchy for button importance,Primary (filled) > Secondary (outlined) > Tertiary (ghost),<button class="bg-blue-600 text-white">Primary</button>,All buttons look the same,/* User can't distinguish primary action */,HIGH
Buttons,Show loading state during async actions,Spinner or progress indicator inside button,<button disabled><Spinner /> Saving...</button>,No feedback during processing,<button>Save</button> /* User clicks multiple times */,HIGH
Buttons,Use descriptive button labels not just OK/Cancel,Action-specific labels tell user what happens,<button>Delete Account</button> <button>Keep Account</button>,Generic labels without context,<button>OK</button> <button>Cancel</button> /* OK does what? */,MEDIUM
Spacing,Use consistent spacing scale (4px base),Tailwind-style 4px spacing scale,gap: 16px; padding: 24px; margin-bottom: 32px; /* 4 6 8 units */,Random pixel values,margin: 13px; padding: 7px; gap: 11px; /* Inconsistent */,MEDIUM
Spacing,Use more whitespace not less,Generous padding around content sections,padding: 96px 0; /* Section spacing */ gap: 48px; /* Content spacing */,Cramped content without breathing room,padding: 16px; gap: 8px; /* Everything feels cramped */,MEDIUM
Responsive,Mobile-first approach always,Start with mobile layout and add breakpoints up,@media (min-width: 768px) { /* Tablet */ } @media (min-width: 1024px) { /* Desktop */ },Desktop-first with mobile afterthought,@media (max-width: 768px) { /* Shrink desktop to mobile */ },HIGH
