name,description,implementation,use_cases,do_examples,dont_examples
Glassmorphism,Frosted glass effect with transparency and blur,backdrop-filter: blur(16px); background: rgba(255 255 255 / 0.1); border: 1px solid rgba(255 255 255 / 0.2);,SaaS dashboards fintech cards premium overlays,Use on cards over gradient backgrounds with subtle borders,Don't stack multiple glass layers or use on busy image backgrounds
Neomorphism,Soft extruded plastic look with inner/outer shadows,box-shadow: 8px 8px 16px #d1d9e6 -8px -8px 16px #ffffff; border-radius: 16px;,Music players calculators single-purpose tools,Use on light backgrounds with subtle depth for interactive elements,Don't use for text-heavy layouts or on dark backgrounds where shadows disappear
Brutalism,Raw intentionally rough design with bold typography,font-weight: 900; border: 3px solid black; text-transform: uppercase; mix-blend-mode: difference;,Creative agencies portfolios fashion brands,Use bold borders clashing colors and raw typography intentionally,Don't use for corporate healthcare or financial products
Minimalism,Maximum whitespace limited palette clean typography,max-width: 680px; margin: 0 auto; line-height: 1.8; letter-spacing: -0.02em;,Luxury brands portfolios premium SaaS editorial,Use generous whitespace high-quality imagery and one accent color,Don't make it boring — minimalism needs one strong visual anchor
Dark Mode,Dark backgrounds with carefully chosen contrast,background: #0F172A; color: #F8FAFC; --accent: #10B981;,Developer tools fintech gaming dashboards AI products,Use 3-4 shades of dark for depth with high-contrast accent colors,Don't use pure black (#000) or low-contrast text on dark backgrounds
Gradient Mesh,Complex multi-color gradients as backgrounds,background: linear-gradient(135deg #667eea 0% #764ba2 100%); filter: blur(100px);,AI products creative tools landing pages hero sections,Use as hero backgrounds or accent elements with blur overlay,Don't use as background for text-heavy content sections
Bento Grid,Asymmetric grid cards like Japanese bento boxes,display: grid; grid-template-columns: repeat(4 1fr); gap: 16px; grid-auto-rows: minmax(200px auto);,Feature showcases SaaS dashboards portfolio layouts,Use varied card sizes with clear visual hierarchy and hover states,Don't make all cards the same size or pack too much info per card
Retro/Vintage,Nostalgic design with muted colors and classic typography,font-family: 'DM Serif Display'; color: #92400E; border-radius: 0; text-transform: uppercase;,Craft brands coffee shops artisan products,Use warm muted tones textured backgrounds and serif typography,Don't mix with modern UI patterns or glassmorphism
Cyberpunk,High-tech neon on dark with glitch effects,background: #0A0A0F; color: #00FF41; text-shadow: 0 0 10px #00FF41; animation: glitch 2s infinite;,Gaming esports tech experimental projects,Use neon accents on dark backgrounds with glitch/scan effects,Don't use for serious professional or healthcare applications
Organic/Biomorphic,Natural flowing shapes inspired by nature,border-radius: 60% 40% 50% 70% / 40% 50% 70% 60%; background: #22C55E;,Wellness sustainability food natural products,Use blob shapes soft curves and nature-inspired color palettes,Don't use sharp corners or cold industrial colors
Claymorphism,3D clay-like elements with soft shadows and rounded shapes,background: #F0F0F0; border-radius: 24px; box-shadow: 8px 8px 16px rgba(0 0 0 0.1) inset -2px -2px 6px rgba(255 255 255 0.7);,Kids apps friendly products playful interfaces,Use soft rounded shapes pastel colors and playful shadows,Don't use for serious B2B or financial applications
Flat Design 2.0,Flat design with subtle shadows and depth cues,box-shadow: 0 1px 3px rgba(0 0 0 0.1); border-radius: 8px; transition: box-shadow 0.2s;,E-commerce SaaS productivity tools general purpose,Use flat colors with subtle elevation changes on hover/active states,Don't make it completely flat without any depth or feedback cues
Swiss/International,Grid-based layout with strong typography and minimal decoration,display: grid; gap: 32px; font-weight: 700; letter-spacing: -0.03em; line-height: 1.2;,Architecture firms design agencies museum sites,Use strict grid alignment bold typography and asymmetric layouts,Don't add decorative elements that break the grid system
Aurora/Northern Lights,Animated gradient backgrounds mimicking aurora borealis,background: conic-gradient(from 180deg at 50% 50% #6366F1 #EC4899 #8B5CF6 #6366F1); filter: blur(80px); animation: rotate 20s linear infinite;,AI products creative platforms landing page heroes,Use as ambient background with blur and gentle animation,Don't overdo animation speed or use on content-heavy pages
Material Design 3,Google's design system with dynamic color and motion,border-radius: 16px; elevation: var(--md-sys-elevation-1); transition: all 200ms cubic-bezier(0.2 0 0 1);,Android apps Google ecosystem cross-platform products,Follow Material 3 token system with dynamic color theming,Don't mix Material with other design systems or custom elevation scales
