product_type,primary,secondary,cta,background,text,border
SaaS (General),#2563EB,#3B82F6,#F97316,#F8FAFC,#1E293B,#E2E8F0
SaaS (Project Management),#6366F1,#818CF8,#F59E0B,#FAFAFA,#1E1B4B,#E0E7FF
SaaS (CRM),#0EA5E9,#38BDF8,#F97316,#F0F9FF,#0C4A6E,#BAE6FD
SaaS (Analytics),#8B5CF6,#A78BFA,#10B981,#FAF5FF,#1E1B4B,#DDD6FE
SaaS (Communication),#6366F1,#818CF8,#EC4899,#F8FAFC,#1E1B4B,#E0E7FF
E-commerce (Fashion),#059669,#10B981,#F97316,#ECFDF5,#064E3B,#A7F3D0
E-commerce (Electronics),#2563EB,#3B82F6,#EF4444,#F8FAFC,#1E293B,#DBEAFE
E-commerce (Marketplace),#7C3AED,#8B5CF6,#F59E0B,#FAF5FF,#2E1065,#DDD6FE
E-commerce (Luxury),#1C1917,#44403C,#CA8A04,#FAFAF9,#0C0A09,#D6D3D1
E-commerce (Beauty),#EC4899,#F472B6,#8B5CF6,#FDF2F8,#831843,#FBCFE8
Fintech/Crypto,#6366F1,#818CF8,#F59E0B,#0F172A,#F8FAFC,#334155
Fintech (Banking),#1E40AF,#3B82F6,#059669,#F0F9FF,#1E3A5F,#BFDBFE
Fintech (Insurance),#0D9488,#14B8A6,#F59E0B,#F0FDFA,#134E4A,#99F6E4
Fintech (Investment),#4338CA,#6366F1,#10B981,#0F172A,#F1F5F9,#312E81
Healthcare App,#0891B2,#22D3EE,#059669,#ECFEFF,#164E63,#A5F3FC
Healthcare (Telehealth),#0D9488,#14B8A6,#3B82F6,#F0FDFA,#134E4A,#99F6E4
Healthcare (Wellness),#10B981,#34D399,#F59E0B,#ECFDF5,#064E3B,#A7F3D0
Healthcare (Mental Health),#8B5CF6,#A78BFA,#10B981,#FAF5FF,#3B0764,#DDD6FE
Restaurant/Food,#DC2626,#F87171,#F59E0B,#FEF2F2,#7F1D1D,#FECACA
Restaurant (Fine Dining),#1C1917,#78716C,#CA8A04,#FAFAF9,#0C0A09,#E7E5E4
Restaurant (Fast Food),#EF4444,#F97316,#FACC15,#FEF2F2,#7F1D1D,#FED7AA
Restaurant (Cafe),#92400E,#D97706,#059669,#FFFBEB,#78350F,#FDE68A
Luxury/Premium,#1C1917,#44403C,#CA8A04,#FAFAF9,#0C0A09,#D6D3D1
Education/EdTech,#2563EB,#60A5FA,#F59E0B,#EFF6FF,#1E3A5F,#BFDBFE
Education (Kids),#8B5CF6,#F59E0B,#EF4444,#FFF7ED,#1E1B4B,#FDE68A
Fitness/Sports,#EF4444,#F87171,#F59E0B,#FEF2F2,#7F1D1D,#FECACA
Fitness (Yoga/Mindfulness),#10B981,#6EE7B7,#8B5CF6,#ECFDF5,#064E3B,#A7F3D0
Real Estate,#1E40AF,#3B82F6,#059669,#F0F9FF,#1E3A5F,#BFDBFE
Real Estate (Luxury),#1C1917,#78716C,#CA8A04,#FAFAF9,#0C0A09,#E7E5E4
Travel/Tourism,#0891B2,#22D3EE,#F97316,#ECFEFF,#164E63,#A5F3FC
Travel (Adventure),#059669,#34D399,#F97316,#ECFDF5,#064E3B,#A7F3D0
Legal/Law Firm,#1E3A5F,#1E40AF,#B45309,#F8FAFC,#0F172A,#CBD5E1
Nonprofit/NGO,#059669,#10B981,#F59E0B,#ECFDF5,#064E3B,#A7F3D0
Gaming,#7C3AED,#A855F7,#EF4444,#0F0B1A,#F8FAFC,#3B0764
Music/Entertainment,#EC4899,#F472B6,#8B5CF6,#0F0B1A,#F8FAFC,#831843
Developer Tools,#0F172A,#1E293B,#10B981,#0F172A,#F8FAFC,#334155
AI/ML Product,#6366F1,#818CF8,#10B981,#0F172A,#F8FAFC,#312E81
Logistics/Supply Chain,#0369A1,#0EA5E9,#F59E0B,#F0F9FF,#0C4A6E,#BAE6FD
Agriculture/AgTech,#15803D,#22C55E,#F59E0B,#F0FDF4,#14532D,#BBF7D0
Automotive,#1E293B,#475569,#EF4444,#F8FAFC,#0F172A,#CBD5E1
Pet/Animal,#F59E0B,#FBBF24,#059669,#FFFBEB,#78350F,#FDE68A
Wedding/Events,#BE185D,#EC4899,#CA8A04,#FDF2F8,#831843,#FBCFE8
Photography/Creative,#0F172A,#334155,#F97316,#F8FAFC,#0F172A,#E2E8F0
Social Media Platform,#6366F1,#818CF8,#EC4899,#F8FAFC,#1E1B4B,#E0E7FF
Productivity App,#2563EB,#60A5FA,#F59E0B,#F8FAFC,#1E293B,#DBEAFE
News/Media,#0F172A,#1E293B,#EF4444,#FFFFFF,#0F172A,#E2E8F0
Sustainability/Green,#15803D,#22C55E,#0EA5E9,#F0FDF4,#14532D,#BBF7D0
Construction,#B45309,#D97706,#1E40AF,#FFFBEB,#78350F,#FDE68A
Consulting,#1E3A5F,#3B82F6,#F59E0B,#F8FAFC,#0F172A,#CBD5E1
