name,category,heading_font,body_font,mood,best_for,google_fonts_url
Classic Elegant,Serif + Sans,Playfair Display,Inter,luxury elegant refined,luxury fashion spa editorial,https://fonts.google.com/share?selection.family=Playfair+Display|Inter
Modern Professional,Sans + Sans,Inter,Inter,clean professional trustworthy,SaaS fintech corporate B2B,https://fonts.google.com/share?selection.family=Inter
Tech Startup,Sans + Sans,Space Grotesk,DM Sans,modern innovative clean,tech companies startups SaaS,https://fonts.google.com/share?selection.family=Space+Grotesk|DM+Sans
Developer Mono,Mono + Sans,JetBrains Mono,IBM Plex Sans,technical precise focused,developer tools code editors CLI,https://fonts.google.com/share?selection.family=JetBrains+Mono|IBM+Plex+Sans
Editorial Bold,Serif + Sans,Fraunces,Source Sans 3,bold editorial confident,news media publishing magazines,https://fonts.google.com/share?selection.family=Fraunces|Source+Sans+3
Warm Friendly,Sans + Sans,Nunito,Open Sans,warm approachable friendly,education kids nonprofit community,https://fonts.google.com/share?selection.family=Nunito|Open+Sans
Geometric Clean,Sans + Sans,Outfit,Plus Jakarta Sans,geometric minimal clean,SaaS dashboards analytics tools,https://fonts.google.com/share?selection.family=Outfit|Plus+Jakarta+Sans
Bold Statement,Display + Sans,Sora,Inter,bold impactful modern,landing pages marketing gaming,https://fonts.google.com/share?selection.family=Sora|Inter
Luxury Serif,Serif + Serif,Cormorant Garamond,Lora,luxurious timeless sophisticated,luxury real estate wine jewelry,https://fonts.google.com/share?selection.family=Cormorant+Garamond|Lora
Playful Creative,Display + Sans,Fredoka,Quicksand,playful fun creative,kids apps gaming entertainment,https://fonts.google.com/share?selection.family=Fredoka|Quicksand
Healthcare Trust,Sans + Sans,Plus Jakarta Sans,Inter,trustworthy calm professional,healthcare telehealth wellness,https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans|Inter
Fintech Security,Sans + Sans,Manrope,Inter,secure stable professional,banking insurance investment fintech,https://fonts.google.com/share?selection.family=Manrope|Inter
Minimalist Swiss,Sans + Sans,Helvetica Neue,Inter,minimal swiss precise,portfolios design agencies architecture,https://fonts.google.com/share?selection.family=Inter
E-commerce Friendly,Sans + Sans,Poppins,Open Sans,friendly commercial clear,e-commerce marketplaces retail,https://fonts.google.com/share?selection.family=Poppins|Open+Sans
Food Appetite,Serif + Sans,DM Serif Display,DM Sans,warm inviting appetizing,restaurants food delivery cafes,https://fonts.google.com/share?selection.family=DM+Serif+Display|DM+Sans
Fitness Energy,Sans + Sans,Bebas Neue,Roboto,energetic bold powerful,fitness sports gym apps,https://fonts.google.com/share?selection.family=Bebas+Neue|Roboto
Travel Adventure,Display + Sans,Abril Fatface,Lato,adventurous inspiring bold,travel tourism adventure hospitality,https://fonts.google.com/share?selection.family=Abril+Fatface|Lato
Legal Formal,Serif + Sans,Merriweather,Source Sans 3,formal authoritative trustworthy,law firms legal consulting,https://fonts.google.com/share?selection.family=Merriweather|Source+Sans+3
Creative Agency,Display + Sans,Clash Display,Satoshi,creative bold distinctive,agencies portfolios creative studios,https://fonts.google.com/share?selection.family=DM+Sans
Startup Fresh,Sans + Sans,General Sans,Inter,fresh youthful innovative,early stage startups new products,https://fonts.google.com/share?selection.family=Inter
Wedding Romance,Serif + Sans,Cormorant,Montserrat,romantic elegant delicate,wedding events luxury invitations,https://fonts.google.com/share?selection.family=Cormorant|Montserrat
News Editorial,Serif + Sans,Libre Baskerville,Source Sans 3,authoritative readable timeless,news blogs editorial long-form,https://fonts.google.com/share?selection.family=Libre+Baskerville|Source+Sans+3
Music Bold,Display + Sans,Righteous,Roboto,bold expressive musical,music entertainment events,https://fonts.google.com/share?selection.family=Righteous|Roboto
Sustainability,Sans + Sans,Urbanist,DM Sans,organic modern sustainable,green energy sustainability eco,https://fonts.google.com/share?selection.family=Urbanist|DM+Sans
AI Futuristic,Sans + Sans,Space Grotesk,Inter,futuristic technical innovative,AI ML data science products,https://fonts.google.com/share?selection.family=Space+Grotesk|Inter
Photography,Serif + Sans,Playfair Display,Raleway,artistic minimal elegant,photography portfolios galleries,https://fonts.google.com/share?selection.family=Playfair+Display|Raleway
Real Estate Premium,Serif + Sans,Cormorant Garamond,Montserrat,premium sophisticated trustworthy,real estate luxury properties,https://fonts.google.com/share?selection.family=Cormorant+Garamond|Montserrat
Social Platform,Sans + Sans,Plus Jakarta Sans,DM Sans,modern social friendly,social media community platforms,https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans|DM+Sans
Productivity Focus,Sans + Sans,Inter,Inter,focused productive clean,productivity tools note-taking task management,https://fonts.google.com/share?selection.family=Inter
Construction Bold,Sans + Sans,Rubik,Open Sans,strong dependable bold,construction industrial manufacturing,https://fonts.google.com/share?selection.family=Rubik|Open+Sans
Pet Friendly,Display + Sans,Baloo 2,Nunito,friendly fun warm,pet services animal products veterinary,https://fonts.google.com/share?selection.family=Baloo+2|Nunito
